"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"1","RLC (UK) Limited","2014-15","3,150,000","29,900,000",96,"Great Britain","Antrim and Newtownabbey",30300,"Manufacturing"
"2","Citibank International PLC","2014-15","208,267","520,668",0,"United States of America","Belfast",64191,"Financial & Insurance Activities"
"3","Dunbia (Northern Ireland)","2014-15","2,000,000","27,309,380",209,"Northern Ireland","Mid Ulster",10110,"Manufacturing"
"4","Cranswick Country Foods (Ballymena)","2014-15","600,000","4,099,000",85,"Northern Ireland","Mid and East Antrim",10130,"Manufacturing"
"5","B/E Aerospace (UK) Limited","2014-15","600,000","22,173,539",50,"United States of America","Newry, Mourne and Down",30300,"Manufacturing"
"6","Moy Park Limited","2014-15","9,500,000","170,000,000",628,"Brazil","Armagh City, Banbridge and Craigavon",10120,"Manufacturing"
"7","Moy Park Limited","2014-15","83,821","335,283",0,"Brazil","Armagh City, Banbridge and Craigavon",10120,"Manufacturing"
"8","Wrightbus Limited","2014-15","362,048","2,810,241",0,"Northern Ireland","Mid and East Antrim",29201,"Manufacturing"
"9","Mackle Petfoods","2014-15","35,186","87,966",1,"Northern Ireland","Armagh City, Banbridge and Craigavon",10920,"Manufacturing"
"10","Wrightbus Limited","2014-15","67,420","337,100",0,"Northern Ireland","Mid and East Antrim",29201,"Manufacturing"
"11","Corrie's Meats Limited","2014-15","18,800","47,000",0,"Northern Ireland","Ards and North Down",10130,"Manufacturing"
"12","Sandvik Limited","2014-15","89,447","429,460",0,"Sweden","Mid Ulster",28923,"Manufacturing"
"13","Spec-Drum Engineering","2014-15","103,837","296,678",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"14","McCloskey International Limited","2014-15","187,566","858,880",0,"Canada","Mid Ulster",28920,"Manufacturing"
"15","Seagate Technology (Ireland)","2014-15","7,780,157","34,709,587",35,"United States of America","Derry City and Strabane",26200,"Manufacturing"
"16","Cross Refrigeration (N.I.) Limited","2014-15","151,085","408,634",0,"Irish Republic","Armagh City, Banbridge and Craigavon",28250,"Manufacturing"
"17","Augentius Depositary Company Limited","2014-15","760,000","5,554,336",76,"Great Britain","Belfast",66300,"Financial & Insurance Activities"
"18","Civica NI Limited","2014-15","577,429","1,649,796",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"19","Kitchens Direct (NI) Limited","2014-15","14,140","152,950",2,"Northern Ireland","Antrim and Newtownabbey",16290,"Manufacturing"
"20","S & P Milligan","2014-15","0","1,825,000",0,"Northern Ireland","Newry, Mourne and Down",10200,"Manufacturing"
"21","Wrightbus Limited","2014-15","292,591","1,170,365",0,"Northern Ireland","Mid and East Antrim",29201,"Manufacturing"
"22","Taxi & Bus Conversion Limited","2014-15","98,453","365,787",0,"Northern Ireland","Mid Ulster",29201,"Manufacturing"
"23","Dragon Brand Foods Ltd","2015-16","31,800","206,172",3,"Northern Ireland","Derry City and Strabane",10840,"Manufacturing"
"24","Little Electrical","2014-15","42,077","116,880",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",27900,"Manufacturing"
"25","Ulster Carpet Mills (Holdings) Limited","2014-15","950,000","21,708,488",10,"Northern Ireland","Armagh City, Banbridge and Craigavon",13931,"Manufacturing"
"26","The Deluxe Group","2014-15","290,000","1,441,200",22,"Northern Ireland","Armagh City, Banbridge and Craigavon",43999,"Construction"
"27","Sandvik Limited","2014-15","291,593","972,812",0,"Sweden","Mid Ulster",28923,"Manufacturing"
