"","business_name","financial_year_of_offer","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","SIC_sector"
"1","RLC (UK) Limited","2014-15","29,900,000",73,"Great Britain","MANUFAC"
"2","Citibank International PLC","2014-15","520,668",1,"United States of America","FINANCIAL&INSURANCE"
"3","Dunbia (Northern Ireland)","2014-15","27,309,380",96,"Northern Ireland","MANUFAC"
"4","Cranswick Country Foods (Ballymena)","2014-15","4,099,000",67,"Northern Ireland","MANUFAC"
"5","B/E Aerospace (UK) Limited","2014-15","22,173,539",47,"United States of America","MANUFAC"
"6","Moy Park Limited","2014-15","170,000,000",115,"Brazil","MANUFAC"
"7","Moy Park Limited","2014-15","335,283",1,"Brazil","MANUFAC"
"8","Wrightbus Limited","2014-15","2,810,241",1,"Northern Ireland","MANUFAC"
"9","Mackle Petfoods","2014-15","87,966",2,"Northern Ireland","MANUFAC"
"10","Wrightbus Limited","2014-15","337,100",1,"Northern Ireland","MANUFAC"
"11","Corrie's Meats Limited","2014-15","47,000",1,"Northern Ireland","MANUFAC"
"12","Sandvik Limited","2014-15","429,460",1,"Sweden","MANUFAC"
"13","Spec-Drum Engineering","2014-15","296,678",1,"Northern Ireland","MANUFAC"
"14","McCloskey International Limited","2014-15","858,880",1,"Canada","MANUFAC"
"15","Seagate Technology (Ireland)","2014-15","34,709,587",36,"United States of America","MANUFAC"
"16","Cross Refrigeration (N.I.) Limited","2014-15","408,634",1,"Irish Republic","MANUFAC"
"17","Augentius Depositary Company Limited","2014-15","5,554,336",64,"Great Britain","FINANCIAL&INSURANCE"
"18","Civica NI Limited","2014-15","1,649,796",1,"Northern Ireland","INFO&COMMU"
"19","Kitchens Direct (NI) Limited","2014-15","152,950",3,"Northern Ireland","MANUFAC"
"20","S & P Milligan","2014-15","1,825,000",1,"Northern Ireland","MANUFAC"
"21","Wrightbus Limited","2014-15","1,170,365",1,"Northern Ireland","MANUFAC"
"22","Taxi & Bus Conversion Limited","2014-15","365,787",1,"Northern Ireland","MANUFAC"
"23","Dragon Brand Foods Ltd","2015-16","206,172",4,"Northern Ireland","MANUFAC"
"24","Little Electrical","2014-15","116,880",1,"Northern Ireland","MANUFAC"
"25","Ulster Carpet Mills (Holdings) Limited","2014-15","21,708,488",11,"Northern Ireland","MANUFAC"
"26","The Deluxe Group","2014-15","1,441,200",23,"Northern Ireland","CONST"
"27","Sandvik Limited","2014-15","972,812",1,"Sweden","MANUFAC"
"28","Edge Innovate (NI) Limited","2014-15","621,528",1,"Northern Ireland","MANUFAC"
"29","WD Meats","2014-15","383,638",1,"Northern Ireland","MANUFAC"
"30","Smiley Monroe Limited","2014-15","2,618,000",32,"Northern Ireland","MANUFAC"
"31","Terex","2014-15","4,449,056",1,"United States of America","MANUFAC"
"32","Naturelle Consumer Products Limited","2014-15","368,273",1,"Northern Ireland","MANUFAC"
"33","Ross Boyd Limited","2014-15","89,000",6,"Northern Ireland","PROFESSIONAL&SCI&TECH"
