"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector","current_address_line_1","current_postcode"
"1","RLC (UK) Limited","2014-15","3,150,000","29,900,000",96,"Great Britain","Antrim and Newtownabbey",30300,"Manufacturing","Global Point Business Park","BT37 0XX"
"2","Citibank International PLC","2014-15","208,267","520,668",0,"United States of America","Belfast",64191,"Financial & Insurance Activities","Gateway Building","BT3 9DP"
"3","Dunbia (Northern Ireland)","2014-15","2,000,000","27,309,380",209,"Northern Ireland","Mid Ulster",10110,"Manufacturing","Granville Industrial Estate","BT70 1NJ"
"4","Cranswick Country Foods (Ballymena)","2014-15","600,000","4,099,000",85,"Northern Ireland","Mid and East Antrim",10130,"Manufacturing","146 Fenaghy Road","BT42 1EA"
"5","B/E Aerospace (UK) Limited","2014-15","600,000","22,173,539",50,"United States of America","Newry, Mourne and Down",30300,"Manufacturing","2 Moor Road","BT34 4NG"
"6","Moy Park Limited","2014-15","9,500,000","170,000,000",628,"Brazil","Armagh City, Banbridge and Craigavon",10120,"Manufacturing","39 Seagoe Industrial Estate","BT63 5QE"
"7","Moy Park Limited","2014-15","83,821","335,283",0,"Brazil","Armagh City, Banbridge and Craigavon",10120,"Manufacturing","39 Seagoe Industrial Estate","BT63 5QE"
"8","Wrightbus Limited","2014-15","362,048","2,810,241",0,"Northern Ireland","Mid and East Antrim",29201,"Manufacturing","201 Galgorm Road","BT42 1SA"
"9","Mackle Petfoods","2014-15","35,186","87,966",1,"Northern Ireland","Armagh City, Banbridge and Craigavon",10920,"Manufacturing","40 Corrigan Hill Road","BT71 6SL"
"10","Wrightbus Limited","2014-15","67,420","337,100",0,"Northern Ireland","Mid and East Antrim",29201,"Manufacturing","201 Galgorm Road","BT42 1SA"
"11","Corrie's Meats Limited","2014-15","18,800","47,000",0,"Northern Ireland","Ards and North Down",10130,"Manufacturing","13 Crossnamuckley Road","BT22 2AA"
"12","Sandvik Limited","2014-15","89,447","429,460",0,"Sweden","Mid Ulster",28923,"Manufacturing","Tullyvannon","BT70 2HW"
"13","Spec-Drum Engineering","2014-15","103,837","296,678",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","Ceased Trading",NA
"14","McCloskey International Limited","2014-15","187,566","858,880",0,"Canada","Mid Ulster",28920,"Manufacturing","47 Moor Road","BT71 4QB"
"15","Seagate Technology (Ireland)","2014-15","7,780,157","34,709,587",35,"United States of America","Derry City and Strabane",26200,"Manufacturing","1 Disc Drive","BT48 0BF"
"16","Cross Refrigeration (N.I.) Limited","2014-15","151,085","408,634",0,"Irish Republic","Armagh City, Banbridge and Craigavon",28250,"Manufacturing","58 Hamiltons Bawn Road","BT60 1HW"
"17","Augentius Depositary Company Limited","2014-15","760,000","5,554,336",76,"Great Britain","Belfast",66300,"Financial & Insurance Activities","Fourth Floor Forsyth House","BT2 8LA"
"18","Civica NI Limited","2014-15","577,429","1,649,796",0,"Northern Ireland","Belfast",62020,"Information & Communication","10 Weavers Court","BT12 5GH"
"19","Kitchens Direct (NI) Limited","2014-15","14,140","152,950",2,"Northern Ireland","Antrim and Newtownabbey",16290,"Manufacturing","26 Cherryburn Road","BT39 0JD"
"20","S & P Milligan","2014-15","0","1,825,000",0,"Northern Ireland","Newry, Mourne and Down",10200,"Manufacturing","20 Downpatrick Road","BT30 7SF"
"21","Wrightbus Limited","2014-15","292,591","1,170,365",0,"Northern Ireland","Mid and East Antrim",29201,"Manufacturing","201 Galgorm Road","BT42 1SA"
"22","Taxi & Bus Conversion Limited","2014-15","98,453","365,787",0,"Northern Ireland","Mid Ulster",29201,"Manufacturing","50 Far Circular Road","BT71 6LW"
"23","Dragon Brand Foods Ltd","2015-16","31,800","206,172",3,"Northern Ireland","Derry City and Strabane",10840,"Manufacturing","Unit 1","BT82 9GU"
"24","Little Electrical","2014-15","42,077","116,880",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",27900,"Manufacturing","30-32  Queens Place","BT66 8BY"
"25","Ulster Carpet Mills (Holdings) Limited","2014-15","950,000","21,708,488",10,"Northern Ireland","Armagh City, Banbridge and Craigavon",13931,"Manufacturing","Castleisland","BT62 1EE"
"26","The Deluxe Group","2014-15","290,000","1,441,200",22,"Northern Ireland","Armagh City, Banbridge and Craigavon",43999,"Construction","Unit 1","BT62 3EH"
"27","Sandvik Limited","2014-15","291,593","972,812",0,"Sweden","Mid Ulster",28923,"Manufacturing","Tullyvannon","BT70 2HW"
"28","Edge Innovate (NI) Limited","2014-15","131,274","621,528",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","30 Farlough Road","BT71 4DT"
"29","WD Meats","2014-15","99,746","383,638",0,"Northern Ireland","Causeway Coast and Glens",10110,"Manufacturing","Lower Newmills Road","BT52 2JR"
"30","Smiley Monroe Limited","2014-15","300,000","2,618,000",31,"Northern Ireland","Lisburn and Castlereagh",28920,"Manufacturing","23 Ferguson Drive","BT28 2EX"
"31","Terex","2014-15","570,807","4,449,056",0,"United States of America","Mid Ulster",28920,"Manufacturing","200 Coalisland Road","BT71 4DR"
"32","Naturelle Consumer Products Limited","2014-15","110,482","368,273",0,"Northern Ireland","Fermanagh and Omagh",21200,"Manufacturing","Unit 5 Bankmore Way East Industrial Estate","BT79 0NZ"
"33","Ross Boyd Limited","2014-15","15,000","89,000",5,"Northern Ireland","Belfast",69201,"Professional, Scientific & Technical Activities","Thomas House","BT2 7GA"
"34","Pinkertons","2014-15","0","318,769",3,"Northern Ireland","Armagh City, Banbridge and Craigavon",10130,"Manufacturing","7 Magheraville Road","BT60 3PR"
"35","McCreight Potatoes Limited","2014-15","0","142,310",1,"Northern Ireland","Newry, Mourne and Down",10310,"Manufacturing","93 Crossan Road","BT34 5BE"
"36","Hughes Mushrooms","2014-15","0","635,679",15,"Northern Ireland","Mid Ulster",10390,"Manufacturing","118 Trewmount Road","BT71 7EF"
"37","Mash Direct Limited","2014-15","0","916,000",22,"Northern Ireland","Ards and North Down",10890,"Manufacturing","81 Ballyrainey Road","BT23 5JU"
"38","Caterpillar (NI) Limited","2014-15","349,047","1,163,491",0,"United States of America","Mid and East Antrim",27110,"Manufacturing","Old Glenarm Road","BT40 1EJ"
"39","Cowan Bros. NI Ltd","2014-15","20,164","57,612",0,"Northern Ireland","Derry City and Strabane",46610,"Wholesale & Retail Trade & Repair of Vehicles","11 Monnaboy Road","BT47 3AZ"
"40","Praxis Care","2014-15","68,386","666,756",0,"Northern Ireland","Belfast",88100,"Human & Social Work Activities","29 Lisburn Road","BT9 7AA"
"41","BRS Golf Limited","2014-15","154,000","1,807,697",28,"United States of America","Belfast",62012,"Information & Communication","Ground Floor","BT1 3BG"
"42","Kainos Software Limited","2014-15","2,950,425","29,505,059",372,"Northern Ireland","Belfast",62012,"Information & Communication","4-6 Upper Crescent","BT7 1NT"
"43","Essential Designs (NI) Ltd","2014-15","11,994","45,045",0,"Northern Ireland","Mid Ulster",16230,"Manufacturing","Unit I 81 Bell's Hill Road","BT45 8HG"
"44","Deacci Ltd","2014-15","3,000","7,500",0,"Northern Ireland","Newry, Mourne and Down",93290,"Arts, Entertainment & Recreation","17 Station Road","BT35 8JH"
"45","Dale Farm Limited","2014-15","2,500,000","43,540,000",123,"Northern Ireland","Mid Ulster",10510,"Manufacturing","15 Dargan Road","BT3 9LS"
"46","Jyrobike","2014-15","243,000","540,000",0,"Great Britain","Ards and North Down",30920,"Manufacturing","Ceased Trading",NA
"47","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
"48","Terex","2014-15","128,276","610,840",0,"United States of America","Fermanagh and Omagh",28920,"Manufacturing","200 Coalisland Road","BT71 4DR"
"49","Principal Parts","2014-15","7,000","33,000",1,"Northern Ireland","Mid Ulster",2400,"Agriculture, Forestry & Fishing","97b  Moy Road","BT71 7DX"
"50","Terex","2014-15","113,316","596,400",0,"United States of America","Fermanagh and Omagh",28920,"Manufacturing","200 Coalisland Road","BT71 4DR"
"51","Bombardier Aerostructures and Engineering Services (Belfast)","2014-15","1,379,408","7,061,527",0,"Canada","Belfast",30300,"Manufacturing","Airport Road","BT3 9DZ"
"52","Grade-All International Ltd","2014-15","48,753","139,294",0,"Northern Ireland","Mid Ulster",28220,"Manufacturing","9 Farlough Road","BT71 4DT"
"53","MMS NI Ltd","2014-15","170,000","1,877,710",0,"Northern Ireland","Mid Ulster",46150,"Wholesale & Retail Trade & Repair of Vehicles","6 Creagh Industrial Park","BT41 3UF"
"54","Dale Farm Limited","2014-15","305,808","1,223,234",0,"Northern Ireland","Belfast",10510,"Manufacturing","15 Dargan Road","BT3 9LS"
"55","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"56","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"57","Best Choice Garage Doors","2014-15","10,672","23,715",0,"Northern Ireland","Fermanagh and Omagh",25120,"Manufacturing","61 Lisrace Road","BT92 6PX"
"58","Surgical Systems Ireland Limited","2014-15","29,839","66,308",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",46460,"Wholesale & Retail Trade & Repair of Vehicles","Unit 43 CIDO Business Complex","BT63 5RH"
"59","Kilkeel Kippering Ltd","2014-15","0","314,500",2,"Northern Ireland","Newry, Mourne and Down",10200,"Manufacturing","The Harbour","BT34 4AX"
"60","Evron Foods","2014-15","125,210","500,840",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10710,"Manufacturing","Unit 1 Eskey Drive","BT63 5WD"
"61","Eventmap Limited","2014-15","85,000","636,000",10,"Northern Ireland","Belfast",62012,"Information & Communication","25 Talbot Street","BT1 2LD"
"62","Yumpod Limited","2014-15","31,200","182,000",4,"Northern Ireland","Newry, Mourne and Down",62020,"Information & Communication","Arthur House 41 Arthur St","BT1 4GB"
"63","Genesis Crafty","2015-16","22,439","77,126",0,"Northern Ireland","Mid Ulster",10710,"Manufacturing","31 Aughrim Road","BT45 6BB"
"64","UForm","2014-15","131,682","1,655,000",0,"Northern Ireland","Mid Ulster",31020,"Manufacturing","Creagh Industrial Park","BT41 3UF"
"65","Westland Horticulture Limited","2014-15","870,000","6,920,000",70,"Northern Ireland","Mid Ulster",8920,"Mining & Quarrying","14 Granville Industrial Estate","BT70 1NJ"
"66","Terex","2014-15","57,414","282,400",0,"United States of America","Fermanagh and Omagh",28920,"Manufacturing","200 Coalisland Road","BT71 4DR"
"67","Terex","2014-15","126,736","633,680",0,"United States of America","Fermanagh and Omagh",28920,"Manufacturing","200 Coalisland Road","BT71 4DR"
"68","TLT (N.I.)","2014-15","16,661","44,295",0,"Great Britain","Belfast",69102,"Professional, Scientific & Technical Activities","Montgomery House","BT1 4NX"
"69","Autoline Insurance Group","2014-15","390,000","3,416,276",60,"Northern Ireland","Newry, Mourne and Down",66220,"Financial & Insurance Activities","2 Ashtree Enterprise Park","BT34 1BY"
"70","Mobipaypoint UK Ltd","2014-15","48,000","395,000",10,"Northern Ireland","Newry, Mourne and Down",62010,"Information & Communication","The Old Gasworks","BT34 2DH"
"71","McCreight Potatoes Limited","2014-15","7,140","17,850",0,"Northern Ireland","Newry, Mourne and Down",10310,"Manufacturing","93 Crossan Road","BT34 5BE"
"72","Heartsine Technologies Limited","2014-15","360,000","2,867,537",40,"United States of America","Belfast",32500,"Manufacturing","Canberra House","BT3 9ED"
"73","Merchant Warehouse","2014-15","105,283","599,571",0,"United States of America","Belfast",62020,"Information & Communication","City Quays One","BT1 3BG"
"74","PricewaterhouseCoopers","2014-15","432,000","1,815,948",0,"Great Britain","Belfast",69201,"Professional, Scientific & Technical Activities","Waterfront Plaza","BT1 3LR"
"75","McAuley Precision Limited","2014-15","24,705","72,350",1,"Northern Ireland","Causeway Coast and Glens",25620,"Manufacturing","21 Ballymena Road","BT53 7EX"
"76","Terex","2014-15","98,343","468,300",0,"United States of America","Fermanagh and Omagh",28920,"Manufacturing","200 Coalisland Road","BT71 4DR"
"77","Target Dry Limited","2014-15","32,286","85,721",1,"Northern Ireland","Belfast",14130,"Manufacturing","Unit 7 Alanbrooke Park","BT6 9HB"
"78","McColgans Quality Foods Limited","2014-15","900,000","7,361,800",43,"Northern Ireland","Derry City and Strabane",10130,"Manufacturing","Dublin Road Industrial Estate","BT82 9EA"
"79","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"80","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities",NA,NA
"81","PricewaterhouseCoopers","2014-15","1,668,015","20,252,000",303,"Great Britain","Belfast",69201,"Professional, Scientific & Technical Activities","Waterfront Plaza","BT1 3LR"
"82","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid and East Antrim",96090,"Other Service Activities",NA,NA
"83","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities",NA,NA
"84","Best Western White Horse Hotel","2014-15","62,078","492,091",0,"Northern Ireland","Derry City and Strabane",55100,"Accommodation & Food Service Activities","68 Clooney Road","BT47 3PA"
"85","W.R. Book-Keeping Services Limited","2014-15","5,540","22,000",1,"Northern Ireland","Belfast",69202,"Professional, Scientific & Technical Activities","186D  Kingsway","BT17 9AD"
"86","Eventmap Limited","2014-15","23,814","59,536",0,"Northern Ireland","Belfast",62012,"Information & Communication","25 Talbot Street","BT1 2LD"
"87","Philips Electronics UK Limited","2014-15","390,399","3,649,600",32,"Northern Ireland","Belfast",21200,"Manufacturing","2nd Floor, Concourse 3","BT3 9DT"
"88","Finn Lough","2014-15","98,652","487,768",0,"Northern Ireland","Fermanagh and Omagh",55209,"Accommodation & Food Service Activities","33 Letter Road","BT93 2BB"
"89","Wright Composites Limited","2014-15","123,063","410,211",0,"Northern Ireland","Mid and East Antrim",29100,"Manufacturing","Galgorm Industrial Estate","BT42 1PY"
"90","Capper Trading","2014-15","528,615","2,421,530",0,"Northern Ireland","Mid Ulster",10910,"Manufacturing","124 Tamnamore Road","BT71 6HW"
"91","Kainos Software Limited","2014-15","1,500,797","4,774,457",0,"Northern Ireland","Belfast",62012,"Information & Communication","4-6 Upper Crescent","BT7 1NT"
"92","One Stop Data Limited","2014-15","17,183","42,957",1,"Great Britain","Derry City and Strabane",82200,"Admin & Support Service Activities","North West Business Complex","BT48 8SE"
"93","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities",NA,NA
